ENSGID	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80
ENSG00000203972	0.089809	0.020734	0.05574		0.330499	1.082709			0.032064999999999996			0.021792	0.008165	0.022709	0.113811	0.017289	0.026808	0.085106		0.155577	0.370921		0.24725	0.028258999999999996			0.155876		0.01466		0.161544	0.026275				0.121308	0.108325				
ENSG00000225378																																				0.0					
ENSG00000272051																								0.0																	
ENSG00000169876	0.000593	0.0			0.001284				0.021843							0.091616		0.0020629999999999997						0.0		0.0	0.00139	0.0035280000000000003										0.001991	0.001999		0.296103
ENSG00000171956		0.015365				0.017023				0.0			0.0		0.0			0.0049689999999999995	0.0		0.067319		0.006307	0.008519			0.012142					0.019780000000000002	0.010343000000000001	0.013585			0.0058			0.019222	0.007201999999999999
ENSG00000252267									0.0							0.0																									
ENSG00000228292	0.212335	0.060329999999999995	0.05673400000000001	0.0	0.0	0.0	0.0	0.0	0.24011999999999997	0.399264	0.0	0.199476	0.0	0.136705	0.0	0.15293099999999998	0.056839	0.0	0.0	0.0	0.110652	0.016222999999999998	0.0	0.0	0.0	0.09989400000000001	0.12805999999999998	0.044420999999999995	0.0	0.036761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.110846	0.0	0.0
ENSG00000222611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.284436	0.0	0.169982	0.0	0.0	0.0	0.0	0.0	0.44935299999999995	0.0	0.1756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228857			0.061036	0.0	0.057324	0.0		0.0		0.20889699999999997	0.045276	0.13339700000000002			0.125606	0.058083	0.064063		0.01669	0.18931800000000001	0.268196	0.075196	0.061172000000000004	0.354806	0.0	0.525191	0.055262	0.0	0.047619			0.058574	0.092316	0.005613	0.128876	0.14055299999999998	0.021859		0.202994	0.072871	0.055408000000000006
ENSG00000273302	0.039422000000000006	0.08630800000000001	0.0	0.032231	0.041888	0.132805	0.060483	0.105125	0.135353	0.0	0.016541999999999998	0.087112	0.0	0.11152000000000001	0.0	0.0	0.0	0.0	0.184702	0.126937	0.053926999999999996	0.0	0.18715	0.079526	0.112301	0.096962	0.161701	0.0	0.21959299999999998	0.053001	0.035278	0.072787	0.0	0.0	0.07563099999999999	0.0	0.027963	0.071734	0.25247600000000003	0.142966	0.093958
